"","label","text","rule_name","comment_number","proposition_number"
20,"e","There is NO question in my mind the reason the plane was so cold was to generate blanket sales.","apr",33,6
21,"u","This is just wrong.","apr",33,7
22,"u","What many people who are supporting a ban are forgetting  is if someone has such a severe peanut allergy that a reaction occurs when breathing or touching something else that has been contaminated , then *all* aircrafts that have ever had peanuts aboard are contaminated.","apr",613,0
23,"n","Banning future peanuts doesn't change that cross-contamination is already in place and it's already a life-threatening environment.","apr",613,1
24,"u","Not feasible.","apr",613,2
25,"e","I, too, suffer from a life-threatening food allergy;","apr",613,3
26,"u","but I do not expect the world to change for me.","apr",613,4
27,"e","I adjust to the world;","apr",613,5
28,"e","if I think there's a chance that I will be exposed to my food ""poison, I don't go there.","apr",613,6
29,"u","It's inconvenient and sometimes a hardship for me,","apr",613,7
30,"e","but I'm the one with the allergy.","apr",613,8
31,"u","Unfortunately, there are no guarantees in this world.","apr",613,9
32,"u","Probably.","apr",613,10
33,"u","The problem is that banning peanuts alone won't make life on a plane safer;","apr",613,11
34,"u","it'll only be as safe as fellow passengers or airline staff taking precautions for the risk","apr",613,12
35,"u","and, frankly, those who don't have or know anyone who has life-threatening allergies have no idea how easily cross-contamination can occur.","apr",613,13
36,"e","As someone with such an allergy,","apr",613,14
37,"u","there's no way I would place my trust for my life on strangers to take precautions for my allergy.","apr",613,15
38,"u","Banning isn't a real solution; finding a cure is.","apr",613,16
39,"u","It is unfortunate that the airlines have forced the government to step and and set limits by holding passengers hostage on the tarmac and treating them like items to be shipped and not people.","apr",1201,0
40,"u","While schedules must be met -","apr",1201,1
41,"u","EVERYONE is inconvenienced by flight delays, including the airline, the travelers and the airport.","apr",1201,2
42,"u","Consideration is what is needed here,","apr",1201,3
43,"u","and the airlines have proven that they cannot be considerate to the travelers without a rule.","apr",1201,4
44,"u","Consequently, I believe a federal limit is necessary,","apr",1201,5
45,"u","however I believe there are multiple factors that should be considered.","apr",1201,6
46,"u","For instance, if a plane with 100 people on it has only 2 operating bathrooms, perhaps the timeframe should be shorter than a plane with more bathrooms in operation.","apr",1201,7
47,"u","Further, I would think the delay for a smaller plane that provides passengers with so little headroom that they cannot stand up without bending their heads  should be less than 3 hours.","apr",1201,8
48,"u","The facilities on the plane could also be a factor .","apr",1201,9
49,"u","I believe that if the airport is closed  and the bathrooms on the plane are sufficient to satisfy the needs of the travelers, there is no reason to let travelers off the plane if the plane is waiting at the gate.","apr",1201,10
50,"u","However, if the airport is open and the airline does not intend to provide travelers with food, it is appropriate for the airline to let travelers off the plane so they can get food if the wait is long.","apr",1201,11
51,"u","I see the reason for letting travelers deplane as being to allow them to obtain what they need and cannot get if they are held on the plane.","apr",1201,12
52,"u","If international passengers are allowed to disembark, but are unable to access bathrooms or shops to obtain food or reading material, I don't see that as a reasonable accommodation.","apr",1201,13
53,"n","The only reason the airlines do not want to publish their plans in their respective contracts of carriage is because people may attempt to sue them if they fail to comply with those plans.","apr",1201,14
54,"u","Not that I believe people should sue at the drop of a hat,","apr",1201,15
55,"u","but I do believe the travelers should have that as an option if the airline acts in an egregious manner.","apr",1201,16
56,"u","Thus, I believe airlines should be required to include their plans in their contracts of carriage.","apr",1201,17
57,"u","I believe that airports should have tarmac contingency plans.","apr",1201,18
58,"u","Perhaps if both the airlines and the airports were required to have plans, the back and forth would lead to better coordination.","apr",1201,19
59,"u","Throughout all, I believe the airlines should inform their travelers about the situation regularly.","apr",1201,20
60,"u","One reason for traveler angst in these situations is due to the lack of information.","apr",1201,21
61,"u","Setting traveler expectations is good.","apr",1201,22
62,"u","However, airlines also must realize that sometimes the best decision is to let the travelers get off the plane and make other travel arrangements.","apr",1201,23
63,"u","I wholeheartedly agree with the idea that airlines should be required to provide travelers with a full-fare"" price.","apr",1211,0
64,"u","This would allow travelers to compare prices between carriers and make better decisions.","apr",1211,1
65,"u","A good alternative would be to allow an individual to choose what options they will use  and provide an all-in price that includes those options .","apr",1211,2
66,"u","This would allow travelers to determine what the ""all-in"" price includes, but would still allow the traveler to compare apples to apples when determining which airline to travel with.","apr",1211,3
67,"u","ALL carriers that operate in the US should be required to display all-in fares for all flights that either begin or end in the US.","apr",1211,4
68,"u","One result I could see here would be that an airline may allow one checked bag, but the size of the bag may be smaller for some carriers than others - and the charge for oversized bags may be more.","apr",1211,5
69,"u","Oversized bags may be something one doesn't think about until one gets to the airport and then finds out the bag is too big.","apr",1211,6
70,"u","Consequently, it might be good for a more prominent display of requirements on the traveler - e.g., bag size and weight.","apr",1211,7
71,"u","As to ""code share"" price display - as a traveler, I want to know what I am paying and what the restrictions on me would be.","apr",1211,8
72,"u","If there is no cost difference for me to fly on an airline the airline I have contracted with has sub-contracted with to fly me somewhere, I am OK knowing only the all-in price.","apr",1211,9
73,"u","I think, however, that it is important for me, the traveler, to know if the subcontractor has more restrictive luggage requirements that could cause me to need to pay additional fees.","apr",1211,10
74,"u","I believe people want to know about the fees and restrictions when they arrange for travel.","apr",1211,11
75,"u","I'm not sure it is necessary to advertise changes in fees or restrictions.","apr",1211,12
76,"u","Instead, I believe the fees or restrictions should not change for a passenger that has bought his or her ticket.","apr",1211,13
77,"n","The contract between the airline and traveler is set when the ticket is purchased","apr",1211,14
78,"u","and unilateral changes to fees that affect the traveler should not be allowed.","apr",1211,15
79,"u","If that contract allows the airline to change restrictions , the airline should be required to inform affected passengers that have already purchased tickets.","apr",1211,16
80,"u","I think it is terrific that DOT is, based on its experience with customer service plans, setting minimum requirements.","apr",1215,0
81,"u","All of the requirements listed seem reasonable.","apr",1215,1
82,"u","I would not want to fly with an airline that did not do those things.","apr",1215,2
83,"u","With respect to the listed additional standards, I think it is important to note that if a bag is not delivered within 2 hours after the passenger landed on the first leg of a round-trip flight - it could be problematic.","apr",1215,3
84,"u","Whereas if it were delivered that late on the second leg of a round trip and the carrier later delivers it to the traveler's home it may not be such a big deal.","apr",1215,4
85,"u","Similarly, if the round-trip flight is over a long weekend, it is more important for the bag to catch up with the traveler quickly,","apr",1215,5
86,"u","but if the round-trip is over a two week period in one place and the airline delivers the bag to the traveler within a day it may not be as big a deal.","apr",1215,6
87,"u","Refunds for bag fees on lost bags seems appropriate.","apr",1215,7
88,"u","As to fees and taxes, I believe refunds should include any fees and taxes the carrier has not otherwise been required to pay to someone else.","apr",1215,8
89,"u","I also believe carriers should reimburse travelers for lost bags.","apr",1215,9
90,"u","If the carrier fails to deliver a bag on-time, that also should be reimbursed -","apr",1215,10
91,"u","however I believe the definition of ""on time"" could be flexible.","apr",1215,11
92,"u","It is important to carriers to publish on-time performance.","apr",1218,0
93,"u","This is an important statistic used by some travelers to make choices about the carriers they wish to fly with.","apr",1218,1
94,"u","Also, the requirement to publish these statistics makes the carriers pay more attention to their achievements both individually and as compared to other carriers.","apr",1218,2
95,"e","I have a peanut allergy and do not fly on airplanes very often.","apr",678,0
96,"e","However, my husband and I took a trip that required flying for travel","apr",678,1
97,"u","and I was very worried about the peanuts.","apr",678,2
98,"e","I took over-the-counter medicine to prevent a reaction and was very careful during the trip.","apr",678,3
99,"u","I can be as careful as I need to be,","apr",678,4
100,"n","but I can't help what the people around me eat.","apr",678,5
101,"u","I think that the two best ideas are banning nuts  from all flights, or having nut-free flights available .","apr",678,6
102,"u","When discussing an epinephrine auto-injector, I feel there should be one on the plane as part of the medical equipment, but should only be used in an emergency situation.","apr",678,7
103,"e","My doctor to me that if I use the Epi Pen, I have a few minutes to get to a hospital so they can regulate the epinephrine that's just been injected into my body.","apr",678,8
104,"e","This advice has caused me not to use the Epi Pen when I know that I can't get to a hospital in a short amount of time.","apr",678,9
105,"u","To me foods items, like a nut crusted chicken and rice dish will not bother me the way peanuts will.","apr",678,10
106,"n","Peanut butter provides the same reaction,","apr",678,11
107,"n","so peanut butter crackers would be out"" with a nut-free ban.","apr",678,12
108,"n","Products containing peanut oil are a different matter.","apr",678,13
109,"e","My doctor explained that the protein that I'm allergic to is broken down in the ""oil"" form,","apr",678,14
110,"u","so foods cooked in peanut oil  do not bother me.","apr",678,15
111,"u","I think there should be no caps on amount airlines have to pay.","apr",1077,0
112,"u","I agree with the proposed required customer service rules.","apr",1079,0
113,"u","Full Prices should be fully disclosed up front,","apr",1080,0
114,"u","and the lowest price available should be disclosed.","apr",1080,1
115,"u","prices should not be increased after purchase.","apr",1080,2
116,"u","DOT should extend the tarmac delay rules to all flights in the US","apr",1081,0
117,"e","On a recent trip from Wa state to Michigan, every single flight  was late by at least a half hour, resulting in missed connections both ways.","apr",855,0
118,"u","When the airport is more than two hours away, notifying passengers of a potential half hour delay won't significantly change whether they head for the airport or not.","apr",855,1
119,"u","However, in retrospect, I would have LOVED to know the following when booking flights: 1 airline's yearly on time percentage; 2 airline's passenger satisfaction rating.","apr",855,2
120,"u","Personally, if I'm going to be treated like cattle, I'd just as soon be happy cattle.","apr",855,3
121,"u","Air travel has turned into such a frustrating exercise  that we look for reasons not to go air.","apr",855,4
122,"u","Frankly, if I have to live with such delays, I'd just as soon do it on a train. THEY are still fun, despite their delays.","apr",855,5
123,"u","anything else whose risks of fatal reaction outweigh the mere convenience of the ignorant, I hope.","apr",254,0
124,"u","ricport, everyone is responsible for themselves AND their effects on others.","apr",257,0
125,"u","Airlines are NOT public spaces. If airlines ban peanuts, MANY passengers WILL bring their own peanuts on board ... as airlines cannot stop people from bringing their own snacks.","apr",677,0
126,"u","I am sympathetic to people with allergies,","apr",677,1
127,"u","but people with allergies need to be prepared with their medicine and then need to stop trying to impose their need on the 99% of the healthy  population.","apr",677,2
128,"u","* 30 minutes is too long;","apr",945,0
129,"n","you say the majority leave within 14 minutes","apr",945,1
130,"u","so set the beginning info as 15 minutes with 30 minute updates unless a resolution is known sooner.","apr",945,2
131,"u","* Specify notification be by all methods available at the airport involved, including ticket agents, with the customer additionally specifying how they are to be notified at home; email, phone, FAX.","apr",945,3
132,"u","* All commercial flights should be included.","apr",945,4
133,"u","* Include the primary reason: bad weather-locally; bad weather-enroute; bad weather at destination; etc.","apr",945,5
134,"u","Don't forget the obvious reasons they don't do better; no enlightened effective regulation; executive compensation; union rules; airport and FAA inefficiencies; monopoly status ; ultimately the bottom line .","apr",946,0
135,"u","Let's look at this logically:","apr",947,0
136,"n","The airline knows when they sell a ticket;","apr",947,1
137,"n","they know when they have sold the full number.","apr",947,2
138,"u","Those passengers should be guaranteed a seat; NO EXCUSES.","apr",947,3
139,"u","Any subsequent tickets sold should be sold as STANDBY with a ranking 1-n, first come; first served!","apr",947,4
140,"u","Problem solved.","apr",947,5
141,"u","If anyone wants to volunteer; use the approach below.","apr",947,6
142,"u","IF YOU DON'T WANT TO USE THE SIMPLE APPROACH!","apr",947,7
143,"u","* First ask for volunteers to receive the next available comparable or better seat on the airline or any other airline, the airline agents to make the arrangements and pay for the seat directly, the passenger to be reimbursed in cash or credit card for their anticipated out of pocket costs due to the delay and their total out of pocket flight costs, tickets, baggage checks, any other fees.","apr",947,8
144,"u","If points were used they would be reinstated with new expiration dates.","apr",947,9
145,"u","*  Do a lottery, no limits, with at least  the results in 1., above, cash or credit cards only;","apr",947,10
146,"u","NO VOUCHERS,","apr",947,11
147,"u","they're almost impossible to use.","apr",947,12
148,"u","* If they still bump someone the sky should be the limit, the results to be appropriate booking plus at least double  the payout in 2., above.","apr",947,13
149,"u","Of course airline lawyers would attempt to make it five pages of weasel words.","apr",947,14
150,"u","Disclosure, disclosure, disclosure!","apr",949,0
151,"u","Not just the ticket price but also the Agent's fee,","apr",952,0
152,"u","which sometimes is considerable.","apr",952,1
153,"u","And Yes! they should not be able to raise the quoted price.","apr",952,2
154,"u","It makes no sense and is misleading to quote a one way price if I have to buy a roundtrip ticket.","apr",954,0
155,"u","If the itemization is Boston to Bombay fare, then various fees, then Bombay to Boston fare and various fees, it is still misleading unless it is specifically preceded by ""Round Trip Required""","apr",954,1
156,"u","If I just want to go from Boston to Bombay and stay there or go  somewhere else, I shouldn't buy this ticket and I should know it ""up front"".","apr",954,2
157,"u","This whole process of additional regulation is brought about because of lack of disclosure by airlines and agents when they unbundle services and initiate obscene fees for them so that we buy tickets and still don't have a deal because we may still be hit by additional fees at checkin.","apr",955,0
158,"u","A DEAL SHOULD BE A DEAL!","apr",955,1
159,"u","Of course not.","apr",955,2
160,"u","I think we should always be talking about airlines, travel agents, and other resellers.","apr",957,0
161,"u","I think the smaller typeface is a bad idea.","apr",957,1
162,"u","Small type is always used for something the purveyor has to say but doesn't want us to be able to read, and we usually can't.","apr",957,2
163,"u","No!  Retroactive pricing is essentially fraud and violates the contract made when money changes hands.","apr",958,0
164,"u","I would favor a rule that disallowed even having a round trip requirement for prices.","apr",958,1
165,"u","If an airline wants to give a credit for roundtrip like stores give case discounts on groceries or such, and listed it as a separate credit in their advertising and on their ticket that might work.","apr",958,2
166,"u","Fares from Boston to New York might vary by time of day and by day of the week","apr",958,3
167,"u","but they should never be based on Round Trip Required.","apr",958,4
168,"u","This is the same as bumping and should be compensated  as such.","apr",959,0
169,"u","See my comments under that category.","apr",959,1
170,"u","It is not just the five hours,","apr",959,2
171,"u","though that is bad enough;","apr",959,3
172,"u","it is all the other inconveniences, arriving late at night, having to cancel engagements, having to call a cab for a long ride vs bus transportation, and a myriad other inconveniences for which the airlines in their hubris currently accepts no responsibility.","apr",959,4
173,"u","The price of fuel doesn't change while I am trying to book a flight.","apr",960,0
174,"u","Maybe airlines should only be allowed to change prices once a week, or once a day, always at midnight, or something like that.","apr",960,1
175,"u","It is extremely frustrating to try to buy a ticket and have availability and or or price change while you are pushing the ""Buy"" button.","apr",960,2
176,"u","Since all these airlines are still split on what services call for fees and how much those services actually cost, they need to create a standard for every airline to use as a basis for quoting prices.","apr",495,0
177,"u","Go back a few years to what was considered ""standard"", and have them quote on: - RT airfare- 1 checked bag- advance seat selection- beverage service- taxes and fees","apr",495,1
178,"u","From there, passengers can unbundle as necessary or add things like premium seating and 2nd or 3rd checked bags .","apr",495,2
179,"u","Rather than encourage airlines to hide all the extra fees, it would instead encourage them to promote their fees -- ""You can save $XXX if you don't check a bag and don't care where you sit!""","apr",495,3
180,"u","* Although perhaps an improvement over current procedures, this will only help a portion of peanut or nut allergic people, and mostly likely won't help severely allergic individuals.","apr",318,0
181,"n","* Airborne peanut or nut proteins can cause anaphylactic reactions faster than surface-bound peanut or nut proteins;","apr",318,1
182,"n","the recycled air in the plane exacerbates this problem.","apr",318,2
183,"n","* Every surface could still be contaminated, even if you wipe down your seats; for example, touching any other arm rest, using lavatory doors, toilets, sinks, and surfaces right after someone else who was eating peanuts or nuts.","apr",318,3
184,"u","* There would simply still be too many risks.","apr",318,4
185,"u","* Again, better than current procedures, and better than a buffer zone, but still a problem.","apr",318,5
186,"n","A peanut or nut allergic individual would likely be walking onto a plane that was not peanut or nut free 30 minutes prior;","apr",318,6
187,"n","and although some cleaning of the cabins occurs between flights,","apr",318,7
188,"n","many of the same issues mentioned above would still exist.","apr",318,8
189,"u","* Most people don't understand and or or are not tolerant of peanut or nut allergy, purely out of lack of knowledge of its severity","apr",318,9
190,"u","prior to having a son diagnosed with peanut or nut and soy allergies I didn't know what it entailed either;","apr",318,10
191,"u","* This has the potential to single out the peanut or nut allergic ""offender"" .","apr",318,11
192,"u","* The only viable solution to make air travel routinely safe for everyone.","apr",318,12
193,"u","* Although there may still be risks of passengers violating the policy,","apr",318,13
194,"n","this resolves all of the issues mentioned above.","apr",318,14
195,"u","The surfaces of and air inside the plane would be safe,","apr",318,15
196,"u","all travelers would know what to expect,","apr",318,16
197,"u","no one would know who was or wasn't peanut or nut allergic.","apr",318,17
198,"u","* Airlines have nothing to lose by instituting a full ban;","apr",318,18
199,"u","they only have customers to gain.","apr",318,19
200,"u","Like with any changes in air travel policy, if such a ban is universally instituted, everyone will have to accept it,","apr",318,20
201,"u","and it will not prevent people from continuing to fly.","apr",318,21
202,"u","However, what will happen is that a large and continuously growing part of the customer market that currently cannot or will not fly, will buy tickets knowing that air travel can be safe.","apr",318,22
203,"u","* Bear in mind the severity of a situation where a peanut or nut allergic individual goes into anaphylactic shock mid-air.","apr",318,23
204,"n","In some cases, Benadryl and an Epipen  will resolve the reaction for an amount of time.","apr",318,24
205,"n","However, in many cases these measures merely buy you enough time to get to an emergency room, typically 10 to 15 minutes;","apr",318,25
206,"u","which would not be possible when in mid-air.","apr",318,26
207,"u","Therefore, while the first two policy options may reduce risk to a degree,","apr",318,27
208,"u","they are not sufficient, assuming that the goal here is to make air travel safe for everyone.","apr",318,28
209,"u","I don't think that flights of less than 60 should be covered:","apr",1244,0
210,"u","in general passengers on these smaller aircraft get more personal service and it would be less cumbersome to deplane passengers if needed.","apr",1244,1
211,"u","The 3-hour rule should apply to international carriers as well as US carriers.","apr",1244,2
212,"u","Small hub and non hub airports should also be subject to the 3-hour limit for domestic flights.","apr",1244,3
213,"u","Where a plane is at the gate and the aircraft door has not yet been closed, passengers should be permitted to deplane after, say, 1 hour.","apr",1244,4
214,"u","In addition, passengers should be able to deplane if the plane has returned to the gate and the delay is over 1 hour.","apr",1244,5
215,"e","In relation to deplaning delayed or diverted international passengers, I recall  facing exactly the same issue when traveling trans-Pacific and transiting Hawaii.","apr",1244,6
216,"e","We were always able to deplane in Hawaii as long as we remained within a certain area of the airport.","apr",1244,7
217,"e","At least we were able to stretch our legs and use the bathroom facilities in the airport.","apr",1244,8
218,"u","I agree with DOT's proposals on clarifying bumping rules and adequately compensating those involuntarily bumped.","apr",1245,0
219,"u","Passengers who are voluntarily or involutarily bumped should be advised by the gate agents on the cash or check or travel voucher option and the criteria for involuntary bumping prioritization.","apr",1245,1
220,"u","On compensation, I think the actual ticket amount, plus a small premium to cover the unbundled aspects of the costs associated with the trip would suffice.","apr",1245,2
221,"u","Given that these smaller aircraft service less popular routes , oversales should be prohibited,","apr",1245,3
222,"u","but the airlines should allow a few passengers to be on ""stand by"" in the event of a no show.","apr",1245,4
223,"u","Zero-fare tickets should be compensated by recrediting the passenger with the number of miles used for the journey, plus cash for minor overhead costs.","apr",1245,5
224,"u","Before talking about something being too harsh for the airlines, we have to decide what to do about the fact the airlines were all against a passenger bill of right.","apr",190,0
225,"u","If they didn't want something that would help it's customers, then customers should push for the harshest punishment possible.","apr",190,1
226,"u","Charging extra for all checked bags ultimately causes passenger injuries.","apr",980,0
227,"u","It's a safety issue.","apr",980,1
228,"u","The proposed rule is wise and good and forbids a despicable practice, but misses the larger issue of passenger safety.","apr",980,2
229,"u","Charging a fee for all checked baggage is the problem that you should focus on.","apr",980,3
230,"u","Charging for all checked bags encourages travelers to overload the overhead bins with large, heavy bags.","apr",980,4
231,"u","Passengers are not professional baggage handlers.","apr",980,5
232,"u","Baggage handlers don't hoist bags they can barely lift over passengers' heads.","apr",980,6
233,"n","Passengers do this or pay $20-$40 extra per bag.","apr",980,7
234,"u","Passengers are not as fit as baggage handlers, are not trained at all, and often can not lift their bags into the crowded overhead bins.","apr",980,8
235,"u","Many need wheels to move their ""carry on"" bags through the airport.","apr",980,9
236,"u","Passengers frequently drop bags on other passengers while loading or unloading the bins,","apr",980,10
237,"u","and the overloaded bins occasionally pop open and dump during the flight.","apr",980,11
238,"u","These large bags, especially the wheels, hurt when a bag falls on your head.","apr",980,12
239,"e","I've only gotten one cut and one ringer so far, both since the baggage fee brutality came in.","apr",980,13
240,"e","I witness one accident every third flight.","apr",980,14
241,"u","Please require airlines to allow for some generous weight in checked baggage.","apr",980,15
242,"u","Let it be part of the ticket.","apr",980,16
243,"u","The old limit of 75 pounds domestic was really nice,","apr",980,17
244,"u","but even 30 pounds would be more than plenty.","apr",980,18
245,"u","The passengers hate the baggage charge for many reasons.","apr",980,19
246,"u","It's not just the sleazy entrapment the proposed rule addresses.","apr",980,20
247,"u","It is a safety issue and should be regulated as such.","apr",980,21
248,"u","Fix the root problem.","apr",980,22
249,"u","When an airline ""bumps"" a passenger it is, in essence, ""buying"" that ticket back from the passenger to sell it to someone else, and then ""purchasing"" a new ticket for the bumped passenger on the next available flight.","apr",135,0
250,"u","It follows that the airline should pay the prevailing market rate to purchase back the seat in the full flight.","apr",135,1
251,"u","Bumping compensation should apply to all carriers because of the increasing use of regional carriers to serve smaller markets and their no lesser disruptiveness and potential expense to the traveler.","apr",462,0
252,"n","Passengers may lack check cashing privileges away from their home airport, yet face unplanned and likely elevated expenses after being ""bumped.""","apr",462,1
253,"u","They should have a mandatory option of cash payment.","apr",462,2
254,"u","An credit card credit, if immediate, would be more secure and as useful to more passengers than either a check or cash.","apr",462,3
255,"u","The proposed compensation limits are too low to provide an incentive to the airlines to limit overbooking and may be arbitrarily unfair to certain travelers.","apr",462,4
256,"n","The Wall Street Journal recently re-proposed a 1977 proposal by the late economist Julian Simon of an auction that would offer bumped passengers a gradually rising reward for giving up their seat.","apr",462,5
257,"u","The arguments are rather compelling.","apr",462,6
258,"u","The airlines will overbook so as to optimize their financial results under any given set of caps,","apr",573,0
259,"u","so some passengers will still be involuntarily denied boarding on overbooked flights.","apr",573,1
260,"u","An auction will more accurately price the delay and the sellers  will be left with no complaint that it was involuntary.","apr",573,2
261,"u","An auction would also force the carriers to face the cost of overbooking in customer dissatisfaction and better inform their flight scheduling decisions.","apr",573,3
262,"e","I recall hearing seats being auctioned by progressive increases in the promised compensation by gate agents,","apr",573,4
263,"u","but that was long, long ago and under far greater seat availability and lower probabilities of cascading delays and subsequent denials of boarding for those who took the compensation.","apr",573,5
264,"e","Those procedures were surely regulated by DOT,","apr",573,6
265,"u","so perhaps those earlier rules should be revisited.","apr",573,7
266,"u","I support uniform regulations requiring both airlines and ticket agents to disclose all fees online  before purchase, for all flights and all carriers.","apr",1030,0
267,"u","3 months of notification of changes on an airline's web page is too short, especially for less-frequent fliers.","apr",1030,1
268,"u","No other industry gets away with the pricing gimmicks and gotchas that the airline industry does;","apr",1030,2
269,"u","it's not a free market if we never know the real price we pay for a service.","apr",1030,3
270,"u","Regulations should be as uniform as possible and applied uniformly.","apr",1030,4
271,"e","I have two sister in laws and a brother in law and two friends that have children that are allergic to peanuts and or  or all nuts.","apr",976,0
272,"e","On a flight with American airlines I was with my sister in law that is deadly allergic to peanuts.","apr",976,1
273,"e","I asked the flight attendant not to sell peanuts on the flight.","apr",976,2
274,"e","She came back with the regulation book explaining that the company policy was not to accommodate her.","apr",976,3
275,"e","I did clearly explain that if peanut dust is in the air it will cause her a sever assma attack.","apr",976,4
276,"e","They did nothing to help us and did offer to sell peanuts on the flight.","apr",976,5
277,"e","My sister in law took benadrel and was very scard for the entire flight.","apr",976,6
278,"e","She did get filled up but didn't have an attack.","apr",976,7
279,"e","She is very afraid to fly.","apr",976,8
280,"u","Why don't they just serve snacks that don't have the potential  to kill someone!!!!!","apr",976,9
281,"u","I would support a full ban of peanut products on any airline.","apr",109,0
282,"n","Peanut reactions can be life threatening.","apr",109,1
283,"u","An individual doesn't have to consume the product to have a life threatening reaction.","apr",109,2
284,"n","They can have contact or inhalation reactions.","apr",109,3
285,"u","Restricting to certain flights is not enough,","apr",109,4
286,"u","as residue can be rampant.","apr",109,5
287,"u","Providing buffer zones is a thoughtful gesture, but from a practical point of view does not work.","apr",109,6
288,"e","I am a physician , and author on the subject.","apr",109,7
289,"e","I have free food allergy online support forums with 3000 members.","apr",109,8
290,"u","I would be more than willing to work with you in any way on this decision making process.","apr",110,0
291,"u","Feel free to contact me with any questions you may have.","apr",110,1
292,"n","Here is a link to that study","apr",125,0
293,"u","I'm quite interested to hear,","apr",778,0
294,"e","as this is my focus in a lot of my research,","apr",778,1
295,"u","and I have had much trouble finding examples.","apr",778,2
296,"u","I also think it should be noted that a lot of airlines do follow some of these rules on their own, and would most likely lose out on a lot of business without adopting such options.","apr",779,0
297,"u","That being said, if I would like to travel on the cheap, realizing that it could come at a cost of worse customer service, in a lot of situations, I'd be willing to live with poorer service for lower prices.","apr",779,1
298,"e","I am a university student,","apr",784,0
299,"e","and I'm not doing anything this summer,","apr",784,1
300,"e","but I have done free market research for different papers and what not for school, and helped a professor with work on F.A. Hayek and Ayn Rand.","apr",784,2
301,"n","So, nothing specifically about airlines, but markets and regulations in general, and most of what I have read  points to all evidence showing regulations being counter-productive.","apr",784,3
302,"u","This comment to me shows that we don't need regulation.","apr",905,0
303,"u","If people behave the way that Bernice does, choosing to no longer fly with an airline that does not provide adequate customer service, these customers ""vote"" with their money saying that this experience needs to be fixed,","apr",905,1
304,"u","or else we will take our business elsewhere.","apr",905,2
305,"u","It really is in the airlines' best interests to serve customers well in order to retain customers and gain a good reputation to get more customers.","apr",905,3
306,"u","In a competitive industry, being able to separate your company as being better than the rest gives you a huge advantage.","apr",905,4
307,"u","Without government control, businesses can, and will, do whatever they please, no matter how bad it is for their cusomers.","apr",1258,0
308,"u","THAT'S WHY WE NEED REGULATIONS LIKE THIS!","apr",1258,1
309,"u","I, for one, don't mind seeing tax dollars go for this purpose!","apr",1258,2
310,"u","I believe airlines should be forced to fully reimburse confirmed passengers whenever the airline changes flight schedules after booking.","apr",876,0
311,"e","I frequently reserve flights up to one year in advance, in order to secure the lowest price and best seat.","apr",876,1
312,"e","I do this even though the airline will charge me $150  to change my itinerary for personal reasons once booked.","apr",876,2
313,"n","However, the airline frequently change flight schedules for confirmed passengers without compensation, nor consideration of passengers' plans.","apr",876,3
314,"e","For example, a trip to Europe on United Airlines has now been changed 7 times by the airline since I confirmed my reservation in December 2009.","apr",876,4
315,"e","The resulting changes have added nearly 5 hours to the total trip,","apr",876,5
316,"e","plus I'm now required to leave at 3AM for the airport ,","apr",876,6
317,"e","and I return after midnight, rather than a more reasonable 10:30PM.","apr",876,7
